;0;1;2;3;4;5
83;COF;Capital One Financial;reports;Financials;Tysons Corner, Virginia;927628
84;CAH;Cardinal Health Inc.;reports;Health Care;Dublin, Ohio;721371
85;HSIC;Henry Schein;reports;Health Care;Melville, New York;1000228
86;KMX;Carmax Inc;reports;Consumer Discretionary;Richmond, Virginia;1170010
87;CCL;Carnival Corp.;reports;Consumer Discretionary;Miami, Florida;815097
88;CAT;Caterpillar Inc.;reports;Industrials;Peoria, Illinois;18230
89;CBG;CBRE Group;reports;Financials;Los Angeles, California;1138118
90;CBS;CBS Corp.;reports;Consumer Discretionary;New York, New York;813828
91;CELG;Celgene Corp.;reports;Health Care;Summit, New Jersey;816284
92;CNC;Centene Corporation;reports;Health Care;St Louis, Missouri;1071739
93;CNP;CenterPoint Energy;reports;Utilities;Houston, Texas;1130310
94;CTL;CenturyLink Inc;reports;Telecommunications Services;Monroe, Louisiana;18926
95;CERN;Cerner;reports;Health Care;North Kansas City, Missouri;804753
96;CF;CF Industries Holdings Inc;reports;Materials;Deerfield, Illinois;1324404
97;SCHW;Charles Schwab Corporation;reports;Financials;San Francisco, California;316709
98;CHTR;Charter Communications;reports;Consumer Discretionary;Stamford, Connecticut;1091667
99;CHK;Chesapeake Energy;reports;Energy;Oklahoma City, Oklahoma;895126
100;CVX;Chevron Corp.;reports;Energy;San Ramon, California;93410
101;CMG;Chipotle Mexican Grill;reports;Consumer Discretionary;Denver, Colorado;1058090
102;CB;Chubb Limited;reports;Financials;Zurich, Switzerland;896159
103;CHD;Church & Dwight;reports;Consumer Staples;Ewing, New Jersey;313927
104;CI;CIGNA Corp.;reports;Health Care;Philadelphia, Pennsylvania;701221
105;XEC;Cimarex Energy;reports;Energy;Denver, Colorado;1168054
106;CINF;Cincinnati Financial;reports;Financials;Fairfield, Ohio;20286
107;CTAS;Cintas Corporation;reports;Industrials;Mason, Ohio;723254
108;CSCO;Cisco Systems;reports;Information Technology;San Jose, California;858877
109;C;Citigroup Inc.;reports;Financials;New York, New York;831001
110;CTXS;Citrix Systems;reports;Information Technology;Fort Lauderdale, Florida;877890
111;CLX;The Clorox Company;reports;Consumer Staples;Oakland, California;21076
112;CME;CME Group Inc.;reports;Financials;Chicago, Illinois;1156375
113;CMS;CMS Energy;reports;Utilities;Jackson, Michigan;811156
114;COH;Coach Inc.;reports;Consumer Discretionary;New York, New York;1116132
115;KO;The Coca Cola Company;reports;Consumer Staples;Atlanta, Georgia;21344
116;CTSH;Cognizant Technology Solutions;reports;Information Technology;Teaneck, New Jersey;1058290
117;CL;Colgate-Palmolive;reports;Consumer Staples;New York, New York;21665
118;CMCSA;Comcast A Corp;reports;Consumer Discretionary;Philadelphia, Pennsylvania;1166691
119;CMA;Comerica Inc.;reports;Financials;Dallas, Texas;28412
120;CAG;ConAgra Foods Inc.;reports;Consumer Staples;Omaha, Nebraska;23217
121;CXO;Concho Resources;reports;Energy;Midland, Texas;1358071
122;COP;ConocoPhillips;reports;Energy;Houston, Texas;1163165
123;ED;Consolidated Edison;reports;Utilities;New York, New York;1047862
124;STZ;Constellation Brands;reports;Consumer Staples;Victor, New York;16918
125;GLW;Corning Inc.;reports;Industrials;Corning, New York;24741
126;COST;Costco Co.;reports;Consumer Staples;Issaquah, Washington;909832
127;COTY;Coty, Inc;reports;Consumer Staples;New York, NY;1024305
128;CCI;Crown Castle International Corp.;reports;Financials;Houston, Texas;1051470
129;CSRA;CSRA Inc.;reports;Information Technology;Falls Church, Virginia;1646383
130;CSX;CSX Corp.;reports;Industrials;Jacksonville, Florida;277948
131;CMI;Cummins Inc.;reports;Industrials;Columbus, Indiana;26172
132;CVS;CVS Health;reports;Consumer Staples;Woonsocket, Rhode Island;64803
133;DHI;D. R. Horton;reports;Consumer Discretionary;Fort Worth, Texas;882184
134;DHR;Danaher Corp.;reports;Industrials;Washington, D.C.;313616
135;DRI;Darden Restaurants;reports;Consumer Discretionary;Orlando, Florida;940944
136;DVA;DaVita Inc.;reports;Health Care;Denver, Colorado;927066
137;DE;Deere & Co.;reports;Industrials;Moline, Illinois;315189
138;DLPH;Delphi Automotive;reports;Consumer Discretionary;Gillingham, Kent, United Kingdom;1521332
139;DAL;Delta Air Lines;reports;Industrials;Atlanta, Georgia;27904
140;XRAY;Dentsply Sirona;reports;Health Care;York, Pennsylvania;818479
141;DVN;Devon Energy Corp.;reports;Energy;Oklahoma City, Oklahoma;1090012
142;DLR;Digital Realty Trust;reports;Financials;San Francisco, California;1297996
143;DFS;Discover Financial Services;reports;Financials;Riverwoods, Illinois;1393612
144;DISCA;Discovery Communications-A;reports;Consumer Discretionary;Silver Spring, Maryland;1437107
145;DISCK;Discovery Communications-C;reports;Consumer Discretionary;Silver Spring, Maryland;1437107
146;DG;Dollar General;reports;Consumer Discretionary;Goodlettsville, Tennessee;29534
147;DLTR;Dollar Tree;reports;Consumer Discretionary;Chesapeake, Virginia;935703
148;D;Dominion Resources;reports;Utilities;Richmond, Virginia;715957
149;DOV;Dover Corp.;reports;Industrials;Downers Grove, Illinois;29905
150;DOW;Dow Chemical;reports;Materials;Midland, Michigan;29915
151;DPS;Dr Pepper Snapple Group;reports;Consumer Staples;Plano, Texas;1418135
152;DTE;DTE Energy Co.;reports;Utilities;Detroit, Michigan;936340
153;DD;Du Pont (E.I.);reports;Materials;Wilmington, Delaware;30554
154;DUK;Duke Energy;reports;Utilities;Charlotte, North Carolina;1326160
155;DNB;Dun & Bradstreet;reports;Industrials;Short Hills, New Jersey;1115222
156;ETFC;E*Trade;reports;Financials;New York, New York;1015780
157;EMN;Eastman Chemical;reports;Materials;Kingsport, Tennessee;915389
158;ETN;Eaton Corporation;reports;Industrials;Dublin, Ireland;1551182
159;EBAY;eBay Inc.;reports;Information Technology;San Jose, California;1065088
160;ECL;Ecolab Inc.;reports;Materials;St. Paul, Minnesota;31462
161;EIX;Edison Int'l;reports;Utilities;Rosemead, California;827052
162;EW;Edwards Lifesciences;reports;Health Care;Irvine, California;1099800
163;EA;Electronic Arts;reports;Information Technology;Redwood City, California;712515
164;EMR;Emerson Electric Company;reports;Industrials;Ferguson, Missouri;32604
165;ENDP;Endo International;reports;Health Care;Dublin, Ireland;1100962
166;ETR;Entergy Corp.;reports;Utilities;New Orleans, Louisiana;65984
167;EOG;EOG Resources;reports;Energy;Houston, Texas;821189
168;EQT;EQT Corporation;reports;Energy;Pittsburgh, Pennsylvania;33213
169;EFX;Equifax Inc.;reports;Financials;Atlanta, Georgia;33185
170;EQIX;Equinix;reports;Information Technology;Redwood City, California;1101239
171;EQR;Equity Residential;reports;Financials;Chicago, Illinois;906107
172;ESS;Essex Property Trust Inc;reports;Financials;Palo Alto, California;920522
173;EL;Estee Lauder Cos.;reports;Consumer Staples;New York, New York;1001250
174;ES;Eversource Energy;reports;Utilities;Springfield, Massachusetts;72741
175;EXC;Exelon Corp.;reports;Utilities;Chicago, Illinois;1109357
176;EXPE;Expedia Inc.;reports;Consumer Discretionary;Bellevue, Washington;1324424
177;EXPD;Expeditors Int'l;reports;Industrials;Seattle, Washington;746515
178;ESRX;Express Scripts;reports;Health Care;Cool Valley, Missouri;1532063
179;EXR;Extra Space Storage;reports;Financials;Salt Lake City, UT;1289490
180;XOM;Exxon Mobil Corp.;reports;Energy;Irving, Texas;34088
181;FFIV;F5 Networks;reports;Information Technology;Seattle, Washington;1048695
182;FB;Facebook;reports;Information Technology;Menlo Park, California;1326801
183;FAST;Fastenal Co;reports;Industrials;Winona, Minnesota;815556
184;FRT;Federal Realty Investment Trust;reports;Financials;Rockville, Maryland;34903
185;FDX;FedEx Corporation;reports;Industrials;Memphis, Tennessee;1048911
186;FIS;Fidelity National Information Services;reports;Information Technology;Jacksonville, Florida;1136893
187;FITB;Fifth Third Bancorp;reports;Financials;Cincinnati, Ohio;35527
188;FSLR;First Solar Inc;reports;Information Technology;Tempe, Arizona;1274494
189;FE;FirstEnergy Corp;reports;Utilities;Akron, Ohio;1031296
190;FISV;Fiserv Inc;reports;Information Technology;Brookfield, Wisconsin;798354
191;FLIR;FLIR Systems;reports;Industrials;Wilsonville, Oregon;354908
192;FLS;Flowserve Corporation;reports;Industrials;Irving, Texas;30625
193;FLR;Fluor Corp.;reports;Industrials;Irving, Texas;1124198
194;FMC;FMC Corporation;reports;Materials;Philadelphia, Pennsylvania;37785
195;FTI;FMC Technologies Inc.;reports;Energy;Houston, Texas;1135152
196;FL;Foot Locker Inc;reports;Consumer Discretionary;New York, New York;850209
197;F;Ford Motor;reports;Consumer Discretionary;Dearborn, Michigan;37996
198;FTV;Fortive Corp;reports;Industrials;Everett, Washington;1659166
199;FBHS;Fortune Brands Home & Security;reports;Industrials;Deerfield, Illinois;1519751
200;BEN;Franklin Resources;reports;Financials;San Mateo, California;38777
201;FCX;Freeport-McMoran Cp & Gld;reports;Materials;Phoenix, Arizona;831259
202;FTR;Frontier Communications;reports;Telecommunications Services;Stamford, Connecticut;20520
203;GPS;Gap (The);reports;Consumer Discretionary;San Francisco, California;39911
204;GRMN;Garmin Ltd.;reports;Consumer Discretionary;Schaffhausen, Switzerland;1121788
205;GD;General Dynamics;reports;Industrials;Falls Church, Virginia;40533
206;GE;General Electric;reports;Industrials;Fairfield, Connecticut;40545
207;GGP;General Growth Properties Inc.;reports;Financials;Chicago, Illinois;895648
208;GIS;General Mills;reports;Consumer Staples;Golden Valley, Minnesota;40704
209;GM;General Motors;reports;Consumer Discretionary;Detroit, Michigan;1467858
210;GPC;Genuine Parts;reports;Consumer Discretionary;Atlanta, Georgia;40987
211;GILD;Gilead Sciences;reports;Health Care;Foster City, California;882095
212;GPN;Global Payments Inc;reports;Information Technology;Atlanta, Georgia;1123360
213;GS;Goldman Sachs Group;reports;Financials;New York, New York;886982
214;GT;Goodyear Tire & Rubber;reports;Consumer Discretionary;Akron, Ohio;42582
215;GWW;Grainger (W.W.) Inc.;reports;Industrials;Lake Forest, Illinois;277135
216;HAL;Halliburton Co.;reports;Energy;Houston, Texas;45012
217;HBI;Hanesbrands Inc;reports;Consumer Discretionary;Winston-Salem, North Carolina;1359841
218;HOG;Harley-Davidson;reports;Consumer Discretionary;Milwaukee, Wisconsin;793952
219;HAR;Harman Int'l Industries;reports;Consumer Discretionary;Stamford, Connecticut;800459
220;HRS;Harris Corporation;reports;Information Technology;Melbourne, Florida;202058
221;HIG;Hartford Financial Svc.Gp.;reports;Financials;Hartford, Connecticut;874766
222;HAS;Hasbro Inc.;reports;Consumer Discretionary;Pawtucket, Rhode Island;46080
223;HCA;HCA Holdings;reports;Health Care;Nashville, Tennessee;860730
224;HCP;HCP Inc.;reports;Financials;Long Beach, California;765880
225;HP;Helmerich & Payne;reports;Energy;Tulsa, Oklahoma;46765
226;HES;Hess Corporation;reports;Energy;New York, New York;4447
227;HPE;Hewlett Packard Enterprise;reports;Information Technology;Palo Alto, California;1645590
228;HOLX;Hologic;reports;Health Care;Marlborough, Massachusetts;859737
229;HD;Home Depot;reports;Consumer Discretionary;Atlanta, Georgia;354950
230;HON;Honeywell Int'l Inc.;reports;Industrials;Morristown, New Jersey;773840
231;HRL;Hormel Foods Corp.;reports;Consumer Staples;Austin, Minnesota;48465
232;HST;Host Hotels & Resorts;reports;Financials;Bethesda, Maryland;1070750
233;HPQ;HP Inc.;reports;Information Technology;Palo Alto, California;47217
234;HUM;Humana Inc.;reports;Health Care;Louisville, Kentucky;49071
235;HBAN;Huntington Bancshares;reports;Financials;Columbus, Ohio;49196
236;ITW;Illinois Tool Works;reports;Industrials;Glenview, Illinois;49826
237;ILMN;Illumina Inc;reports;Health Care;San Diego, California;1110803
238;IR;Ingersoll-Rand PLC;reports;Industrials;Dublin, Ireland;1466258
239;INTC;Intel Corp.;reports;Information Technology;Santa Clara, California;50863
240;ICE;Intercontinental Exchange;reports;Financials;Atlanta, Georgia;1571949
241;IBM;International Bus. Machines;reports;Information Technology;Armonk, New York;51143
242;IP;International Paper;reports;Materials;Memphis, Tennessee;51434
243;IPG;Interpublic Group;reports;Consumer Discretionary;New York, New York;51644
244;IFF;Intl Flavors & Fragrances;reports;Materials;New York, New York;51253
245;INTU;Intuit Inc.;reports;Information Technology;Mountain View, California;896878
246;ISRG;Intuitive Surgical Inc.;reports;Health Care;Sunnyvale, California;1035267
247;IVZ;Invesco Ltd.;reports;Financials;Atlanta, Georgia;914208
248;IRM;Iron Mountain Incorporated;reports;Industrials;Boston, Massachusetts;1020569
249;JEC;Jacobs Engineering Group;reports;Industrials;Pasadena, California;52988
250;JBHT;J. B. Hunt Transport Services;reports;Industrials;Lowell, Arkansas;728535
251;JNJ;Johnson & Johnson;reports;Health Care;New Brunswick, New Jersey;200406
252;JCI;Johnson Controls International Plc;reports;Consumer Discretionary;Milwaukee, Wisconsin;833444
253;JPM;JPMorgan Chase & Co.;reports;Financials;New York, New York;19617
254;JNPR;Juniper Networks;reports;Information Technology;Sunnyvale, California;1043604
255;KSU;Kansas City Southern;reports;Industrials;Kansas City, Missouri;54480
256;K;Kellogg Co.;reports;Consumer Staples;Battle Creek, Michigan;55067
257;KEY;KeyCorp;reports;Financials;Cleveland, Ohio;91576
258;KMB;Kimberly-Clark;reports;Consumer Staples;Irving, Texas;55785
259;KIM;Kimco Realty;reports;Financials;New Hyde Park, New York;879101
260;KMI;Kinder Morgan;reports;Energy;Houston, Texas;1506307
261;KLAC;KLA-Tencor Corp.;reports;Information Technology;Milpitas, California;319201
262;KSS;Kohl's Corp.;reports;Consumer Discretionary;Menomonee Falls, Wisconsin;885639
263;KHC;Kraft Heinz Co;reports;Consumer Staples;Northfield, Illinois;1545158
264;KR;Kroger Co.;reports;Consumer Staples;Cincinnati, Ohio;56873
265;LB;L Brands Inc.;reports;Consumer Discretionary;Columbus, Ohio;701985
266;LLL;L-3 Communications Holdings;reports;Industrials;New York, New York;1056239
267;LH;Laboratory Corp. of America Holding;reports;Health Care;Burlington, North Carolina;920148
268;LRCX;Lam Research;reports;Information Technology;Fremont, California;707549
269;LM;Legg Mason;reports;Financials;Baltimore, Maryland;704051
270;LEG;Leggett & Platt;reports;Industrials;Carthage, Missouri;58492
271;LEN;Lennar Corp.;reports;Consumer Discretionary;Miami, Florida;920760
272;LVLT;Level 3 Communications;reports;Telecommunications Services;Broomfield, Colorado;794323
273;LUK;Leucadia National Corp.;reports;Financials;New York, New York;96223
274;LLY;Lilly (Eli) & Co.;reports;Health Care;Indianapolis, Indiana;59478
275;LNC;Lincoln National;reports;Financials;Radnor, Pennsylvania;59558
276;LLTC;Linear Technology Corp.;reports;Information Technology;Milpitas, California;791907
277;LKQ;LKQ Corporation;reports;Consumer Discretionary;Chicago, Illinois;1065696
278;LMT;Lockheed Martin Corp.;reports;Industrials;Bethesda, Maryland;936468
279;L;Loews Corp.;reports;Financials;New York, New York;60086
280;LOW;Lowe's Cos.;reports;Consumer Discretionary;Mooresville, North Carolina;60667
281;LYB;LyondellBasell;reports;Materials;Rotterdam, Netherlands;1489393
282;MTB;M&T Bank Corp.;reports;Financials;Buffalo, New York;36270
283;MAC;Macerich;reports;Financials;Santa Monica, California;912242
284;M;Macy's Inc.;reports;Consumer Discretionary;Cincinnati, Ohio;794367
285;MNK;Mallinckrodt Plc;reports;Health Care;Dublin, Ireland;1567892
286;MRO;Marathon Oil Corp.;reports;Energy;Houston, Texas;101778
287;MPC;Marathon Petroleum;reports;Energy;Findlay, Ohio;1510295
288;MAR;Marriott Int'l.;reports;Consumer Discretionary;Bethesda, Maryland;1048286
289;MMC;Marsh & McLennan;reports;Financials;New York, New York;62709
290;MLM;Martin Marietta Materials;reports;Materials;Raleigh, North Carolina;916076
291;MAS;Masco Corp.;reports;Industrials;Taylor, Michigan;62996
292;MA;Mastercard Inc.;reports;Information Technology;Harrison, New York;1141391
293;MAT;Mattel Inc.;reports;Consumer Discretionary;El Segundo, California;63276
294;MKC;McCormick & Co.;reports;Consumer Staples;Sparks, Maryland;63754
295;MCD;McDonald's Corp.;reports;Consumer Discretionary;Oak Brook, Illinois;63908
296;MCK;McKesson Corp.;reports;Health Care;San Francisco, California;927653
297;MJN;Mead Johnson;reports;Consumer Staples;Glenview, Illinois;1452575
298;MDT;Medtronic plc;reports;Health Care;Dublin, Ireland;64670
299;MRK;Merck & Co.;reports;Health Care;Whitehouse Station, New Jersey;310158
300;MET;MetLife Inc.;reports;Financials;New York, New York;1099219
301;MTD;Mettler Toledo;reports;Health Care;Columbus, Ohio;1037646
302;KORS;Michael Kors Holdings;reports;Consumer Discretionary;New York, New York;1530721
303;MCHP;Microchip Technology;reports;Information Technology;Chandler, Arizona;827054
304;MU;Micron Technology;reports;Information Technology;Boise, Idaho;723125
305;MSFT;Microsoft Corp.;reports;Information Technology;Redmond, Washington;789019
306;MHK;Mohawk Industries;reports;Consumer Discretionary;Amsterdam, New York;851968
307;TAP;Molson Coors Brewing Company;reports;Consumer Staples;Denver, Colorado;24545
308;MDLZ;Mondelez International;reports;Consumer Staples;Northfield, Illinois;1103982
309;MON;Monsanto Co.;reports;Materials;Creve Coeur, Missouri;1110783
310;MNST;Monster Beverage;reports;Consumer Staples;Corona, California;865752
311;MCO;Moody's Corp;reports;Financials;New York, New York;1059556
312;MS;Morgan Stanley;reports;Financials;New York, New York;895421
313;MOS;The Mosaic Company;reports;Materials;Plymouth, Minnesota;1285785
314;MSI;Motorola Solutions Inc.;reports;Information Technology;Schaumburg, Illinois;68505
315;MUR;Murphy Oil;reports;Energy;El Dorado, Arkansas;717423
316;MYL;Mylan N.V.;reports;Health Care;Amsterdam, Netherlands;69499
317;NDAQ;NASDAQ OMX Group;reports;Financials;New York, New York;1120193
318;NOV;National Oilwell Varco Inc.;reports;Energy;Houston, Texas;1021860
319;NAVI;Navient;reports;Financials;Newark, Delaware;1593538
320;NTAP;NetApp;reports;Information Technology;Sunnyvale, California;1002047
321;NFLX;Netflix Inc.;reports;Information Technology;Los Gatos, California;1065280
322;NWL;Newell Rubbermaid Co.;reports;Consumer Discretionary;Sandy Springs, Georgia;814453
323;NFX;Newfield Exploration Co;reports;Energy;Houston, Texas;912750
324;NEM;Newmont Mining Corp. (Hldg. Co.);reports;Materials;Denver, Colorado;1164727
325;NWSA;News Corp. Class A;reports;Consumer Discretionary;New York, New York;1564708
326;NWS;News Corp. Class B;reports;Consumer Discretionary;New York, New York;1564708
327;NEE;NextEra Energy;reports;Utilities;Juno Beach, Florida;753308
328;NLSN;Nielsen Holdings;reports;Industrials;New York, New York;1492633
329;NKE;Nike;reports;Consumer Discretionary;Washington County, Oregon;320187
330;NI;NiSource Inc.;reports;Utilities;Merrillville, Indiana;1111711
331;NBL;Noble Energy Inc;reports;Energy;Houston, Texas;72207
332;JWN;Nordstrom;reports;Consumer Discretionary;Seattle, Washington;72333
333;NSC;Norfolk Southern Corp.;reports;Industrials;Norfolk, Virginia;702165
334;NTRS;Northern Trust Corp.;reports;Financials;Chicago, Illinois;73124
335;NOC;Northrop Grumman Corp.;reports;Industrials;West Falls Church, Virginia;1133421
336;NRG;NRG Energy;reports;Utilities;Princeton, New Jersey;1013871
337;NUE;Nucor Corp.;reports;Materials;Charlotte, North Carolina;73309
338;NVDA;Nvidia Corporation;reports;Information Technology;Santa Clara, California;1045810
339;ORLY;O'Reilly Automotive;reports;Consumer Discretionary;Springfield, Missouri;898173
340;OXY;Occidental Petroleum;reports;Energy;Los Angeles, California;797468
341;OMC;Omnicom Group;reports;Consumer Discretionary;New York, New York;29989
342;OKE;ONEOK;reports;Energy;Tulsa, Oklahoma;1039684
343;ORCL;Oracle Corp.;reports;Information Technology;Redwood Shores, California;1341439
344;OI;Owens-Illinois Inc;reports;Materials;Perrysburg, Ohio;812074
345;PCAR;PACCAR Inc.;reports;Industrials;Bellevue, Washington;75362
346;PH;Parker-Hannifin;reports;Industrials;Cleveland, Ohio;76334
347;PDCO;Patterson Companies;reports;Health Care;St. Paul, Minnesota;891024
348;PAYX;Paychex Inc.;reports;Information Technology;Penfield, New York;723531
349;PYPL;PayPal;reports;Information Technology;San Jose, California;1633917
350;PNR;Pentair Ltd.;reports;Industrials;Worsley, UK;77360
351;PBCT;People's United Financial;reports;Financials;Bridgeport, Connecticut;1378946
352;PEP;PepsiCo Inc.;reports;Consumer Staples;Purchase, New York;77476
353;PKI;PerkinElmer;reports;Health Care;Waltham, Massachusetts;31791
354;PRGO;Perrigo;reports;Health Care;Dublin, Ireland;1585364
355;PFE;Pfizer Inc.;reports;Health Care;New York, New York;78003
356;PCG;PG&E Corp.;reports;Utilities;San Francisco, California;1004980
357;PM;Philip Morris International;reports;Consumer Staples;New York, New York;1413329
358;PSX;Phillips 66;reports;Energy;Houston, Texas;1534701
359;PNW;Pinnacle West Capital;reports;Utilities;Phoenix, Arizona;764622
360;PXD;Pioneer Natural Resources;reports;Energy;Irving, Texas;1038357
361;PBI;Pitney-Bowes;reports;Industrials;Stamford, Connecticut;78814
362;PNC;PNC Financial Services;reports;Financials;Pittsburgh, Pennsylvania;713676
363;RL;Polo Ralph Lauren Corp.;reports;Consumer Discretionary;New York, New York;1037038
364;PPG;PPG Industries;reports;Materials;Pittsburgh, Pennsylvania;79879
365;PPL;PPL Corp.;reports;Utilities;Allentown, Pennsylvania;922224
366;PX;Praxair Inc.;reports;Materials;Danbury, Connecticut;884905
367;CFG;Citizens Financial Group;reports;Financials;Providence, Rhode Island;759944
368;PCLN;Priceline.com Inc;reports;Consumer Discretionary;Norwalk, Connecticut;1075531
369;PFG;Principal Financial Group;reports;Financials;Des Moines, Iowa;1126328
