,name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
406,Assicurazioni Generali,Insurance—Diversified,$35.20 B," 74,621",Italy,"Trieste,Italy",,Financials, Mr. Philippe Roger Donnet,,,,,G,,
407,Hexagon AB,Scientific & Technical Instruments,$35.21 B," 22,097",Sweden,"Stockholm,Sweden",,Technology," Mr. Ola  RollÃ©n B.Sc., B.Sc. (Econ.)",,,,,HXG,,
408,Telstra Corporation Limited,Telecom Services,$35.24 B," 26,728",Australia,"Melbourne,VIC,Australia",,Communication Services," Mr. Andrew Richard Penn M.B.A., AMP, MBA, BEc, FCCA, HFAIPM", 1 July 1975,,,,TLS,,
409,Henkel AG & Co KGaA,Household & Personal Products,$30.53 B," 52,450",Germany,"Düsseldorf,Germany",,Consumer Staples, Dr. Carsten  Knobel,,,,,HEN,,
410,"Twitter, Inc.",Internet Content & Information,$30.83 B," 7,500",United States,"SanFrancisco,CA,UnitedStates",,Communication Services, Mr. Parag  Agrawal," March 21, 2006",,,,TWTR,,
411,Energy Transfer LP,Oil & Gas Midstream,$30.69 B," 12,558",United States,"Dallas,TX,UnitedStates",,Energy, Mr. Marshall S. McCrea III, 1995,,,,ET,,
412,Loblaw Companies Limited,Grocery Stores,$30.70 B," 200,000",Canada,"Brampton,ON,Canada",,Consumer Staples," Mr. Galen G. Weston B.A., M.B.A, M.B.A."," Toronto, Ontario, Canada 1956",,,,L,,
413,Veeva Systems Inc.,Health Information Services,$30.76 B," 4,506",United States,"Pleasanton,CA,UnitedStates",,Healthcare, Mr. Peter P. Gassner, 2007,,,,VEEV,,
414,Nokia Corporation,Communication Equipment,$30.91 B," 87,927",Finland,"Espoo,Finland",,Technology, Mr. Pekka Ilmari Lundmark, 12 May 1865,,,,NOKIA.SEK,,
415,SAIC Motor Corp Ltd,Auto Manufacturers,$30.93 B," 204,815",China,"Shanghai,China",,Consumer Discretionary,,,,,,600104,,
416,State Street Corporation,Asset Management,$30.95 B," 38,784",United States,"Boston,MA,UnitedStates",,Financials, Mr. Ronald Philip O'Hanley, 1792,,,,STT,,
417,Engie SA,Utilities—Diversified,$31.00 B," 154,364",France,"Courbevoie,France",,Utilities, Ms. Catherine  MacGregor,,,,,ENGI,,
418,Anhui Conch Cement Company Ltd,Building Materials,$31.02 B," 47,539",China,"Wuhu,China",,Basic Materials,,,,,,600585,,
419,Franco-Nevada Corporation,Gold,$31.00 B, 38,Canada,"Toronto,ON,Canada",,Basic Materials, Mr. Paul  Brink,,,,,FNV,,
420,China Pacific Insurance,Insurance—Life,$31.04 B," 110,940",China,"Shanghai,China",,Financials,,,,,,601601,,
421,"Zscaler, Inc.",Software—Infrastructure,$31.03 B," 3,153",United States,"SanJose,CA,UnitedStates",,Technology, Mr. Jagtar Singh Chaudhry, 2007,,,,ZS,,
422,E.ON SE,Utilities—Diversified,$31.12 B," 63,227",Germany,"Essen,Germany",,Utilities, Dr. Leonhard  Birnbaum,,,,,EOAA,,
423,"AMETEK, Inc.",Specialty Industrial Machinery,$31.15 B," 18,500",United States,"Berwyn,PA,UnitedStates",,Industrials, Mr. David A. Zapico, 1930,,,,AME,,
424,Zhangzhou Pientzehuang Pharmaceutical. Ltd,Drug Manufacturers—General,$31.17 B," 2,526",China,"Zhangzhou,China",,Healthcare,,,,,,600436,,
425,Formosa Petrochemical Corp,Oil & Gas Refining & Marketing,$31.22 B,,Taiwan,"Mailiao,Taiwan",,Energy,,,,,,6505,,
426,Koninklijke DSM N.V.,Specialty Chemicals,$31.25 B," 21,358",Netherlands,"Heerlen,Netherlands",,Basic Materials, Mr. Dimitri  de Vreeze,,,,,DSM,,
427,Swisscom AG,Telecom Services,$31.26 B," 18,905",Switzerland,"Bern,Switzerland",,Communication Services, Mr. Urs  Schaeppi lic. oec. HSG,,,,,SCMN,,
428,Biogen Inc.,Drug Manufacturers—General,$31.35 B," 9,610",United States,"Cambridge,MA,UnitedStates",,Healthcare, Mr. Michel  Vounatsos, 1978,,,,BIIB,,
429,Japan Post Holdings Co. Ltd,Banks,$31.41 B," 243,612",Japan,"Tokyo,Japan",,Financials, Mr. Hiroya  Masuda,,,,,6178,,
430,CRH plc,Building Materials,$31.45 B," 77,400",Ireland,"Dublin,Ireland",,Basic Materials,," Cement Limited 1936, Roadstone Limited 1949 & merger to form Cement Roadstone Holdings 1970",,,,CRH,,
431,China Telecom Corp Ltd,Telecom Services,$31.49 B," 278,922",Hong Kong,"WanChai,HongKong",,Communication Services, Mr. Ruiwen  Ke,,,,,0728,,
432,Eversource Energy,Utilities—Regulated Electric,$31.56 B," 9,227",United States,"Springfield,MA,UnitedStates",,Utilities, Mr. Joseph R. Nolan Jr., 1966,,,,ES,,
433,Foxconn Industrial Internet Co. Ltd,Communication Equipment,$31.58 B," 196,159",China,"Shenzhen,China",,Technology, Mr. Hongmeng  Cheng,,,,,601138,,
434,"Japan Tobacco, Inc.",Tobacco,$31.59 B," 55,381",Japan,"Tokyo,Japan",,Consumer Staples, Mr. Masamichi  Terabatake,,,,,2914,,
435,Corning Incorporated,Electronic Components,$31.60 B," 61,200",United States,"Corning,NY,UnitedStates",,Technology, Mr. Wendell P. Weeks, 1851,,,,GLW,,
436,Goodman Group,REIT—Diversified,$31.64 B, 941,Australia,"Rosebery,NSW,Australia",,Real Estate, Mr. Gregory Leith Goodman, 1989,,,,GMG,,
437,"ONEOK, Inc.",Oil & Gas Midstream,$31.66 B," 2,847",United States,"Tulsa,OK,UnitedStates",,Energy, Mr. Pierce H. Norton II, 1906,,,,OKE,,
438,Mettler-Toledo International Inc.,Diagnostics & Research,$31.78 B," 15,600",United States,"Columbus,OH,UnitedStates",,Healthcare, Mr. Patrick K. Kaltenbach, 1945,,,,MTD,,
439,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Telecom Services,$31.78 B," 20,817",Indonesia,"Bandung,Indonesia",,Communication Services,, 23 October 1856,,,,TLK,,
440,"PPG Industries, Inc.",Specialty Chemicals,$31.89 B," 49,300",United States,"Pittsburgh,PA,UnitedStates",,Basic Materials, Mr. Michael H. McGarry, 1883,,,,PPG,,
441,"JAPAN POST BANK Co.,Ltd.",Banks,$31.93 B," 12,451",Japan,"Tokyo,Japan",,Financials,,,,,,7182,,
442,Longfor Group Holdings Ltd,Real Estate—Development,$31.98 B," 44,065",China,"Beijing,China",,Real Estate, Mr. Xuping  Chen,,,,,0960,,
443,Great Wall Motor Co Ltd,Auto Manufacturers,$32.01 B," 63,174",China,"Baoding,China",,Consumer Discretionary,,,,,,601633,,
444,PACCAR Inc,Farm & Heavy Construction Machinery,$32.04 B," 28,500",United States,"Bellevue,WA,UnitedStates",,Industrials, Mr. R. Preston Feight, 1905,,,,PCAR,,
445,WEG SA,Specialty Industrial Machinery,$32.05 B," 36,987",Brazil,"JaraguádoSul,SC,Brazil",,Industrials, Mr. Harry  Schmelzer Jr.,,,,,WEGE3,,
446,Brown-Forman Corporation,Beverages—Wineries & Distilleries,$32.07 B," 4,700",United States,"Louisville,KY,UnitedStates",,Consumer Staples, Mr. Lawson E. Whiting, 1870,,,,BF.B,,
447,Barclays plc,Banks,$32.19 B," 81,600",United Kingdom,"London,UnitedKingdom",,Financials, Mr. Coimbatore Sundararajan Venkatakrishnan, 17 November 1690,,,,BARC,,
448,ANTA Sports Products Ltd,Leisure,$32.20 B," 52,000",China,"Jinjiang,China",,Consumer Discretionary, Mr. Shizhong  Ding,,,,,2020,,
449,Singapore Telecommunications Ltd,Telecom Services,$32.23 B," 22,914",Singapore,"Singapore,Singapore",,Communication Services, Mr. Kuan Moon  Yuen,,,,,Z74,,
450,Haier Smart Home Co Ltd,"Furnishings, Fixtures & Appliances",$32.31 B," 99,299",China,"Qingdao,China",,Consumer Discretionary,,,,,,600690,,
451,"Cellnex Telecom, SA",Telecom Services,$32.32 B," 2,877",Spain,"Madrid,Spain",,Communication Services, Mr. Tobias  Martinez Gimeno,,,,,CLNX,,
452,CITIC Ltd,Conglomerates,$32.33 B," 135,304",Hong Kong,"Central,HongKong",,Industrials,,,,,,0267,,
453,WuXi Biologics,Biotechnology,$32.41 B," 9,864",China,"Wuxi,China",,Healthcare, Dr. Zhisheng  Chen,,,,,2269,,
454,China Overseas Land & Investment Ltd,Real Estate—Development,$32.49 B," 5,916",Hong Kong,"Central,HongKong",,Real Estate, Mr. ZhiChao  Zhang,,,,,0688,,
455,AmerisourceBergen Corporation,Medical Distribution,$32.51 B," 38,000",United States,"Chesterbrook,PA,UnitedStates",,Healthcare, Mr. Steven H. Collis, Merger between AmeriSource Health and Bergen Brunswig in 2001,,,,ABC,,
456,"WEC Energy Group, Inc.",Utilities—Regulated Electric,$32.54 B," 6,938",United States,"Milwaukee,WI,UnitedStates",,Utilities, Mr. Scott J. Lauber, 1896,,,,WEC,,
457,"Ross Stores, Inc.",Apparel Retail,$32.71 B," 88,100",United States,"Dublin,CA,UnitedStates",,Consumer Discretionary, Ms. Barbara  Rentler, 1982,,,,ROST,,
458,CGN Power Co. Ltd,Utilities—Independent Power Producers,$19.25 B," 18,248",China,"Shenzhen,China",,Utilities,,,,,,003816,,
459,Snam S.p.A.,Utilities—Regulated Gas,$19.27 B," 3,388",Italy,"SanDonatoMilanese,MI,Italy",,Utilities, Mr. Marco  AlverÃ ,,,,,SRG,,
460,Magna International Inc.,Auto Parts,$19.36 B," 158,000",Canada,"Aurora,ON,Canada",,Consumer Discretionary, Mr. Seetarama Swamy Kotagiri, 1957,,,,MG,,
461,KB Financial Group Inc.,Banks,$19.39 B," 25,428",South Korea,"Seoul,SouthKorea",,Financials, Dr. Jong-Kyoo  Yoon Ph.D.," September 29, 2008",,,,105560,,
462,Svenska Handelsbanken AB,Banks,$19.42 B," 10,793",Sweden,"Stockholm,Sweden",,Financials, Mr. Carl  Cederschiold,,,,,SHB.A,,
463,Fresenius Medical Care AG & Co. KGaA,Medical Care Facilities,$19.42 B," 122,909",Germany,"BadHomburg,Germany",,Healthcare, Mr. Robert Maurice Powell Jr.,,,,,FME,,
464,EDP - Energias de Portugal SA,                                        Utilities—Diversified                                    ,$19.43 B," 12,236",Portugal,"Lisbon,Portugal",,                                        Utilities                                    , Mr. Miguel Stilwell de Andrade,,,,,EDP,,
465,"Ferrovial, SA",Infrastructure Operations,$19.44 B," 18,680",Spain,"Madrid,Spain",,Industrials, Mr. Ignacio Madridejos Fernandez,,,,,FER,,
466,"Molina Healthcare, Inc.",Healthcare Plans,$19.46 B," 14,000",United States,"LongBeach,CA,UnitedStates",,Healthcare, Mr. Joseph Michael Zubretsky, 1980,,,,MOH,,
467,"Avantor, Inc.",Specialty Chemicals,$19.48 B," 13,500",United States,"Radnor,PA,UnitedStates",,Basic Materials, Mr. Michael  Stubblefield, 1904,,,,AVTR,,
468,Shenzhou International Group Holdings Ltd,Textile Manufacturing,$19.50 B," 94,400",Hong Kong,"Kowloon,HongKong",,Consumer Discretionary, Mr. Guanlin  Huang,,,,,2313,,
469,JBS SA,Packaged Foods,$19.53 B," 250,000",Brazil,"SaoPaulo,SP,Brazil",,Consumer Staples, Mr. Gilberto  Tomazoni,,,,,JBSS3,,
470,TransUnion,Consulting Services,$19.53 B," 10,200",United States,"Chicago,IL,UnitedStates",,Industrials, Mr. Christopher A. Cartwright," February 8, 1968",,,,TRU,,
471,Arch Capital Group Ltd.,                                        Insurance—Diversified                                    ,$19.54 B," 5,200",Bermuda,"Pembroke,Bermuda",,                                        Financials                                    , Mr. Marc  Grandisson, 1995,,,,ACGL,,
472,Marathon Oil Corporation,Oil & Gas E&P,$19.54 B," 1,531",United States,"Houston,TX,UnitedStates",,Energy, Mr. Lee M. Tillman, 1887,,,,MRO,,
473,"Huatai Securities Co., Ltd.",Capital Markets,$19.55 B," 7,375",China,"Nanjing,China",,Financials, Mr. Yi  Zhou,,,,,601688,,
474,China Tower Corp Ltd,Telecom Services,$19.55 B," 20,500",China,"Beijing,China",,Communication Services,,,,,,0788,,
475,"Akamai Technologies, Inc.",Software—Infrastructure,$19.59 B," 8,700",United States,"Cambridge,MA,UnitedStates",,Technology, Dr. F. Thomson Leighton, 1998,,,,AKAM,,
476,Shanghai Fosun Pharmaceutical,Drug Manufacturers—Specialty & Generic,$19.63 B," 32,258",China,"Shanghai,China",,Healthcare, Mr. Yifang  Wu,,,,,600196,,
477,"Bill.com Holdings, Inc.",Software—Application,$19.65 B," 1,384",United States,"PaloAlto,CA,UnitedStates",,Technology, Mr. Rene A. Lacerte, 2006,,,,BILL,,
478,Henderson Land Development Co Ltd,Real Estate Services,$19.67 B," 10,059",Hong Kong,"Central,HongKong",,Real Estate,,,,,,0012,,
479,CGI Inc.,Information Technology Services,$19.67 B," 82,000",Canada,"Montreal,QC,Canada",,Technology, Mr. George D. Schindler, June 1976,,,,GIB.A,,
480,Shiseido Co Ltd,Household & Personal Products,$19.69 B," 39,035",Japan,"Tokyo,Japan",,Consumer Staples, Mr. Masahiko  Uotani,,,,,4911,,
481,Brookfield Infrastructure Partners L.P.,                                        Utilities—Diversified                                    ,$19.70 B,,Bermuda,"Hamilton,Bermuda",,                                        Utilities                                    ,," January 14, 2008",,,,BIP.UN,,
482,Renesas Electronics Corp,Semiconductors,$19.73 B," 18,612",Japan,"Tokyo,Japan",,Technology, Mr. Hidetoshi  Shibata,,,,,6723,,
483,Kerry Group plc,Packaged Foods,$19.74 B," 22,000",Ireland,"Tralee,Ireland",,Consumer Staples, Mr. Edmond  Scanlon,,,,,KRZ,,
484,"Hologic, Inc.",Medical Instruments & Supplies,$19.75 B," 6,705",United States,"Marlborough,MA,UnitedStates",,Healthcare, Mr. Stephen P. MacMillan, 1985,,,,HOLX,,
485,Ryanair Holdings plc,Airlines,$19.78 B," 17,000",Ireland,"Swords,Ireland",,Industrials, Mr. Michael  O'Leary, 28 November 1984,,,,RY4C,,
486,Standard Bank Group Ltd,Banks,$19.82 B," 49,224",South Africa,"Johannesburg,SouthAfrica",,Financials," Mr. Simpiwe Kenneth Tshabalala AMP, B.A., BA, HDip Tax, L.L.B., L.L.M., LLB, LLM",,,,,SBK,,
487,Aviva plc,Insurance—Diversified,$19.82 B," 22,000",United Kingdom,"London,UnitedKingdom",,Financials,, 2000,,,,AV.,,
488,China Communications Construction Co Ltd,Engineering & Construction,$19.83 B," 133,294",China,"Beijing,China",,Industrials,,,,,,601800,,
489,China Resources Beer (Holdings) Company Ltd,Beverages—Brewers,$19.84 B," 25,000",Hong Kong,"WanChai,HongKong",,Consumer Staples, Mr. Xiaohai  Hou,,,,,0291,,
490,"Teradyne, Inc.",Semiconductor Equipment & Materials,$19.85 B," 5,900",United States,"NorthReading,MA,UnitedStates",,Technology, Mr. Mark E. Jagiela, 1960,,,,TER,,
491,Kao Corp,Household & Personal Products,$19.85 B," 33,409",Japan,"Tokyo,Japan",,Consumer Staples, Mr. Yoshihiro  Hasebe,,,,,4452,,
492,Klabin SA,Paper & Paper Products,$19.86 B,,Brazil,"SaoPaulo,SP,Brazil",,Basic Materials, Mr. Cristiano Cardoso Teixeira,,,,,KLBN11,,
493,"Paycom Software, Inc.",Software—Application,$19.87 B," 5,385",United States,"OklahomaCity,OK,UnitedStates",,Technology, Mr. Chad R. Richison, 1998,,,,PAYC,,
494,Vedanta Limited,Other Industrial Metals & Mining,$19.93 B," 17,047",India,"Mumbai,India",,Basic Materials, Mr. Sunil  Duggal, 22 April 2003 as Angelchange Limited ,,,,VEDL,,
495,Trina Solar Co. Ltd,Solar,$19.94 B," 18,645",China,"Changzhou,China",,Technology,,,,,,688599,,
496,Tradeweb Markets Inc.,Capital Markets,$19.98 B," 1,046",United States,"NewYork,NY,UnitedStates",,Financials, Mr. Lee  Olesky, 1998,,,,TW,,
497,"Sun Communities, Inc.",REIT—Residential,$19.98 B," 4,948",United States,"Southfield,MI,UnitedStates",,Real Estate, Mr. Gary A. Shiffman, 1975,,,,SUI,,
498,Hannover Rück SE,Insurance—Reinsurance,$20.02 B," 3,346",Germany,"Hanover,Germany",,Financials, Mr. Jean-Jacques  Henchoz,,,,,HNRB,,
499,"PerkinElmer, Inc.",Diagnostics & Research,$20.05 B," 16,700",United States,"Waltham,MA,UnitedStates",,Healthcare, Dr. Prahlad R. Singh Ph.D., 1937,,,,PKI,,
500,APPLE,,2825000000000,154000,,USA,,,Tim Cook,,,,,,,394330000000
501,MICROSOFT CORPORATION,,2358000000000,220000,,USA,,,Satya Nadella,,,,,,,198270000000
502,SAUDI ARABIAN OIL COMPANY (Saudi Aramco),,1889600000000,79800,,Saudi Arabia,,,Amin H. Al-Nasser,,,,,,,400460000000
503,ALPHABET,,1820000000000,156500,,USA,,,Sundar Pichai,,,,,,,257640000000
504,AMAZON.COM,,1649000000000,1335000,,USA,,,Andy Jassy,,,,,,,469820000000
505,TESLA,,1031000000000,99290,,USA,,,Elon Musk,,,,,,,53823000000
506,META PLATFORMS,,922960000000,77805,,USA,,,Mark Zuckerberg,,,,,,,117930000000
507,BERKSHIRE HATHAWAY,,711750000000,372000,,USA,,,Warren Buffett,,,,,,,354640000000
508,NVIDIA CORPORATION,,679000000000,18975,,USA,,,Jensen Huang,,,,,,,26914000000
509,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),,640480000000,65152,,Taiwan,,,C. C. Wei,,,,,,,55306000000
510,TENCENT,,545360000000,112771,,China,,,Ma Huateng,,,,,,,87995000000
511,J P MORGAN CHASE & CO,,494000000000,271025,,USA,,,Jamie Dimon,,,,,,,121640000000
512,VISA,,471630000000,21500,,USA,,,Alfred F Kelly Jr,,,,,,,24100000000
513,JOHNSON & JOHNSON,,457940000000,141700,,USA,,,Joaquin Duato,,,,,,,93770000000
514,SAMSUNG ELECTRONICS,,438840000000,113753,,South Korea,,,Kim Hyun Suk Koh Dong-Jin Kim Ki Nam,,,,,,,229280000000
515,UNITEDHEALTH GROUP,,431930000000,350000,,USA,,,Andrew Witty,,,,,,,285270000000
516,HOME DEPOT,,411020000000,500000,,USA,,,Craig Menear,,,,,,,151160000000
517,LVMH,,409480000000,150000,,France,,,Bernard Arnault,,,,,,,70765000000
518,BANK OF AMERICA CORPORATION,,402490000000,208000,,USA,,,Brian Moynihan,,,,,,,89110000000
519,WALMART,,401910000000,2300000,,USA,,,Doug McMillon,,,,,,,572750000000
520,PROCTER & GAMBLE COMPANY,,393820000000,101000,,USA,,,Jon R. Moeller,,,,,,,80187000000
521,KWEICHOW MOUTAI,,382350000000,29031,,China,,,Li Bao Fang,,,,,,,15929000000
522,NESTLE AG,,372720000000,276000,,Switzerland,,,Ulf Mark Schneider,,,,,,,92575000000
523,MASTERCARD,,363200000000,24000,,USA,,,Michael Miebach,,,,,,,18880000000
524,ROCHE HOLDING AG,,356150000000,100920,,Switzerland,,,Severin Schwan,,,,,,,66757000000
525,ALIBABA GROUP HOLDING,,351900000000,251462,,China,,,Daniel Zhang,,,,,,,124140000000
526,PFIZER,,312750000000,78500,,USA,,,Albert Bourla,,,,,,,81288000000
527,ASML HOLDING,,307330000000,28000,,Netherlands,,,Peter Wennink,,,,,,,20509000000
528,EXXON MOBIL CORPORATION,,291610000000,64000,,USA,,,Darren Woods,,,,,,,285640000000
529,THE WALT DISNEY COMPANY,,286880000000,190000,,USA,,,Bob Chapek,,,,,,,67410000000
530,TOYOTA MOTOR CORPORATION,,276740000000,366283,,Japan,,,Akio Toyoda,,,,,,,228980000000
531,COCA-COLA COMPANY,,260590000000,80300,,USA,,,James Quincey,,,,,,,38655000000
532,CISCO SYSTEMS,,257820000000,79500,,USA,,,Chuck Robbins,,,,,,,51557000000
533,BROADCOM,,255630000000,20000,,USA,,,Hock E. Tan,,,,,,,27450000000
534,PROSUS,,254550000000,23874,,Netherlands,,,Bob van Dijk,,,,,,,6866000000
535,ICBC,,252550000000,434798,,China,,,Nicolas Jimenez,,,,,,,138160000000
536,L'OREAL,,249140000000,85392,,France,,,Jean Paul Agon,,,,,,,35580000000
537,NIKE,,248460000000,73300,,USA,,,John Donahoe,,,,,,,46710000000
538,ELI LILLY AND COMPANY,,248240000000,35000,,USA,,,David A. Ricks,,,,,,,28318000000
539,ADOBE,,242990000000,25988,,USA,,,Shantanu Narayen,,,,,,,15785000000
540,CHEVRON CORPORATION,,241020000000,42595,,USA,,,Michael Wirth,,,,,,,155600000000
541,PEPSICO,,240690000000,309000,,USA,,,Ramon Laguarta,,,,,,,79470000000
542,ABBOTT LABORATORIES,,239710000000,113000,,USA,,,Robert Ford,,,,,,,43075000000
543,NETFLIX,,239660000000,12135,,USA,,,Ted Sarandos Reed Hastings,,,,,,,29697000000
544,TATA GROUP,,,750000,,India,,,,,,,,,,103000000000
545,THERMO FISHER SCIENTIFIC,,239220000000,130000,,USA,,,Marc N. Casper,,,,,,,39211000000
546,ABBVIE,,238450000000,50000,,USA,,,Richard A. Gonzalez,,,,,,,56197000000
547,COSTCO WHOLESALE CORPORATION,,237760000000,288000,,USA,,,W. Craig Jelinek,,,,,,,195920000000
548,ACCENTURE,,234500000000,699000,,Ireland,,,Julie Sweet,,,,,,,50533000000
549,ORACLE CORPORATION,,233690000000,132000,,USA,,,Safra A. Catz,,,,,,,42440000000
550,NOVO NORDISK A/S,,231350000000,45971,,Denmark,,,Lars Fruergaard Jorgensen,,,,,,,20838000000
551,COMCAST CORPORATION,,228670000000,189000,,USA,,,Brian L. Roberts,,,,,,,116380000000
552,VERIZON COMMUNICATIONS,,227690000000,118400,,USA,,,Hans Vestberg,,,,,,,133610000000
553,SALESFORCE.COM,,224880000000,56606,,USA,,,Marc Benioff,,,,,,,26492000000
554,RELIANCE INDUSTRIES,,220760000000,236330,,India,,,Mukesh Ambani,,,,,,,87614000000
555,PAYPAL HOLDINGS,,220420000000,30900,,USA,,,Daniel Schulman,,,,,,,25371000000
556,WELLS FARGO & COMPANY,,218380000000,253871,,USA,,,Charles W. Scharf,,,,,,,78492000000
557,INTEL CORPORATION,,217340000000,121100,,USA,,,Patrick P. Gelsinger,,,,,,,79020000000
558,DANAHER CORPORATION,,211280000000,78000,,USA,,,Rainer M. Blair,,,,,,,29453000000
559,MERCK & CO,,202830000000,68000,,USA,,,Robert M. Davis,,,,,,,48700000000
560,QUALCOMM,,202060000000,45000,,USA,,,Cristiano R. Aman,,,,,,,33560000000
561,NOVARTIS AG,,201260000000,104323,,Switzerland,,,Vasant Narasimhan,,,,,,,52877000000
562,CHINA MERCHANTS BANK,,199860000000,90867,,China,,,Huiyu Tian,,,,,,,48553000000
563,MCDONALD'S CORPORATION,,199560000000,200000,,USA,,,Chris Kempczinski,,,,,,,23222000000
564,CONTEMPORARY AMPEREX TECHNOLOGY,,197130000000,33078,,China,,,Zeng Yuqun,,,,,,,18970000000
565,TATA CONSULTANCY SERVICES (TCS),,193870000000,606331,,India,,,Rajesh Gopinathan,,,,,,,24002000000
566,UNITED PARCEL SERVICE (UPS),,189610000000,534000,,USA,,,Carol B. Tome,,,,,,,97287000000
567,AT&T,,187740000000,203000,,USA,,,John T. Stankey,,,,,,,168860000000
568,MORGAN STANLEY,,186710000000,68097,,USA,,,James P. Gorman,,,,,,,56414000000
569,CHINA CONSTRUCTION BANK CORPORATION,,182170000000,349671,,China,,,,,,,,,,120930000000
570,ROYAL DUTCH SHELL,,181560000000,86000,,Netherlands,,,Ben van Beurden,,,,,,,180640000000
571,ASTRAZENECA,,178120000000,83100,,UK,,,Pascal Soriot,,,,,,,37417000000
572,THE CHARLES SCHWAB CORPORATION,,173440000000,32000,,USA,,,Walter W Bettinger II,,,,,,,18996000000
573,HERMES INTERNATIONAL,,172040000000,15417,,France,,,Axel Dumas,,,,,,,9898000000
574,LINDE AG,,171940000000,74207,,UK Ireland,,,Sanjiv Lamba,,,,,,,30793000000
575,NEXTERA ENERGY,,169550000000,9700,,USA,,,James L Robo,,,,,,,17069000000
576,LOWE'S COMPANIES,,169170000000,220000,,USA,,,Marvin Ellison,,,,,,,96250000000
577,TEXAS INSTRUMENTS,,165720000000,31000,,USA,,,Richard K. Templeton,,,,,,,18344000000
578,UNION PACIFIC CORPORATION,,163790000000,32124,,USA,,,Lance M. Fritz,,,,,,,21804000000
579,BHP GROUP,,162910000000,80000,,Australia,,,Mike Henry,,,,,,,45066000000
580,SAP SE,,162540000000,107415,,Germany,,,Christian Klein,,,,,,,30682000000
581,AGRICULTURAL BANK OF CHINA,,160760000000,459000,,China,,,,,,,,,,104700000000
582,INTUIT,,160710000000,13500,,USA,,,Sasan K. Goodarzi,,,,,,,12726000000
583,MEITUAN DIANPING,,160510000000,58390,,China,,,Wang Xing,,,,,,,28141000000
584,ROYAL BANK OF CANADA,,159750000000,85301,,Canada,,,David I. McKay,,,,,,,35376000000
585,ADVANCED MICRO DEVICES (AMD),,159410000000,15500,,USA,,,Lisa Su,,,,,,,16434000000
586,SONY CORPORATION,,156010000000,109700,,Japan,,,Kenichiro Yoshida,,,,,,,72397000000
587,PHILIP MORRIS INTERNATIONAL,,154340000000,69900,,USA,,,Jacek Olczak,,,,,,,31405000000
588,PING AN INSURANCE (GROUP) COMPANY OF CHINA,,150120000000,362000,,China,,,Ma Mingzhe,,,,,,,202290000000
589,HONEYWELL INTERNATIONAL,,148530000000,99000,,USA,,,Darius Adamczyk,,,,,,,34392000000
590,TORONTO-DOMINION BANK,,144320000000,89464,,Canada,,,Bharat Masrani,,,,,,,32501000000
591,PETROCHINA COMPANY,,143700000000,476223,,China,,,Wang Dongjin,,,,,,,380440000000
592,CHRISTIAN DIOR,,143380000000,128339,,France,,,Pietro Beccari,,,,,,,70765000000
593,SHOPIFY,,143340000000,7000,,Canada,,,Tobias Lutke,,,,,,,4611000000
594,KEYENCE CORPORATION,,142420000000,8380,,Japan,,,Yu Nakata,,,,,,,5511000000
595,MEDTRONIC,,141390000000,90000,,Ireland,,,Geoffrey S. Martha,,,,,,,31677000000
596,BRISTOL-MYERS SQUIBB COMPANY,,139460000000,32200,,USA,,,Giovanni Caforio,,,,,,,46385000000
597,SIEMENS,,138710000000,303000,,Germany,,,Roland Busch,,,,,,,68616000000
598,TOTALENERGIES SE,,138010000000,105476,,France,,,Patrick Pouyanne,,,,,,,184630000000
599,CVS HEALTH CORPORATION,,137540000000,295000,,USA,,,Karen S. Lynch,,,,,,,292110000000
600,UNILEVER GROUP,,137220000000,149000,,Netherlands UK,,,Alan Jope,,,,,,,57793000000
601,T-MOBILE US,,137070000000,75000,,USA,,,Mike Sievert,,,,,,,80118000000
602,BANK OF CHINA,,135640000000,306322,,China,,,Gao Yingxin,,,,,,,76991000000
603,BLACKROCK,,135550000000,16500,,USA,,,Larry Fink,,,,,,,19374000000
604,SCHWARZ GROUP,,,500000,,Germany,,,,,,,,,,123070000000
605,RAYTHEON TECHNOLOGIES CORPORATION,,135370000000,174000,,USA,,,Gregory Hayes,,,,,,,64388000000
606,AMERICAN EXPRESS COMPANY,,135070000000,64000,,USA,,,Stephen Squeri,,,,,,,42838000000
607,VOLKSWAGEN,,134250000000,662575,,Germany,,,Herbert Diess,,,,,,,250120000000
608,APPLIED MATERIALS,,134000000000,27000,,USA,,,Gary E. Dickerson,,,,,,,23063000000
609,HSBC HOLDINGS,,132940000000,223448,,UK,,,Noel Quinn,,,,,,,63644000000
610,THE GOLDMAN SACHS GROUP,,132600000000,43900,,USA,,,David M. Solomon,,,,,,,64989000000
611,WULIANGYE YIBIN,,132390000000,26348,,China,,,Chen Lin,,,,,,,9635000000
612,CITI GROUP,,130530000000,223400,,USA,,,Jane Fraser,,,,,,,71887000000
613,CHINA MOBILE,,130510000000,454332,,China,,,Li Yue,,,,,,,133260000000
614,AMGEN,,128030000000,24200,,USA,,,Robert A. Bradway,,,,,,,25979000000
615,YOUTUBE,,,,,USA,,,Susan Wojcicki,,,,,,,
